Density,l75,l3,l1
0.01,0.0325471,0.0353448,0.0328068
0.02,0.0666927,0.0623338,0.0614108
0.03,0.0884196,0.0892595,0.088232
0.04,0.122157,0.118854,0.116396
0.05,0.145088,0.145719,0.143093
0.06,0.174465,0.170838,0.169548
0.07,0.200926,0.197836,0.197107
0.08,0.224552,0.22617,0.224558
0.09,0.250311,0.251494,0.250845
0.1,0.283288,0.281962,0.27779
0.11,0.312611,0.306494,0.305911
0.12,0.339212,0.333897,0.33033
0.13,0.362441,0.360071,0.35766
0.14,0.386969,0.386426,0.382337
0.15,0.417922,0.412619,0.407429
0.16,0.448002,0.437797,0.43144
0.17,0.468876,0.465986,0.452607
0.18,0.494857,0.489849,0.465888
0.19,0.525291,0.512701,0.473041
0.2,0.551067,0.54332,0.475056
0.21,0.578737,0.56662,0.478866
0.22,0.604878,0.587186,0.475431
0.23,0.6344,0.597511,0.472545
0.24,0.658046,0.604752,0.468584
0.25,0.684925,0.56437,0.461632
0.26,0.712002,0.56624,0.461271
0.27,0.738909,0.579482,0.457445
0.28,0.764118,0.574668,0.451174
0.29,0.791962,0.588112,0.449914
0.3,0.819,0.579893,0.443036
0.31,0.844207,0.605764,0.441035
0.32,0.873324,0.597309,0.434339
0.33,0.897857,0.550922,0.426512
0.34,0.92158,0.54929,0.424961
0.35,0.942864,0.536662,0.415512
0.36,0.950204,0.530798,0.409084
0.37,0.966869,0.54945,0.407152
0.38,0.993673,0.544469,0.401277
0.39,1.00886,0.531231,0.395981
0.4,1.01198,0.517013,0.385435
0.41,1.00182,0.508341,0.379158
0.42,1.00252,0.499776,0.380122
0.43,1.00314,0.46993,0.374339
0.44,1.01049,0.465654,0.365413
0.45,1.00832,0.459049,0.363186
0.46,0.990321,0.450747,0.353757
0.47,0.969373,0.463016,0.348214
0.48,0.954685,0.452744,0.346558
0.49,0.954949,0.446841,0.341797
0.5,0.928098,0.438638,0.329604
