Density,1  p - 10%,1  p - 25%,"7,5  p - 10%","7,5  p - 25%"
0.01,0.0143388,0.0134939,0.0143149,0.0134944
0.02,0.0286379,0.0270268,0.0286556,0.0269783
0.03,0.042991,0.0404871,0.0429279,0.0404907
0.04,0.0572604,0.0539529,0.0572768,0.0538294
0.05,0.0715936,0.0674747,0.0715835,0.0674836
0.06,0.0860677,0.0809923,0.0858422,0.080926
0.07,0.100239,0.094494,0.100248,0.0944209
0.08,0.114538,0.107853,0.114601,0.107832
0.09,0.128875,0.121392,0.128749,0.121215
0.1,0.14323,0.135124,0.143118,0.134493
0.11,0.157533,0.148267,0.157431,0.148232
0.12,0.171963,0.161908,0.171742,0.161124
0.13,0.186172,0.175103,0.186123,0.174615
0.14,0.200401,0.188911,0.20049,0.187749
0.15,0.214729,0.201974,0.214646,0.20013
0.16,0.229129,0.21621,0.228452,0.21188
0.17,0.243688,0.229206,0.242573,0.221714
0.18,0.2576,0.243223,0.256297,0.229872
0.19,0.272058,0.256226,0.26927,0.232797
0.2,0.28612,0.269782,0.280868,0.233794
0.21,0.300442,0.283167,0.290465,0.236205
0.22,0.31539,0.29636,0.296384,0.234289
0.23,0.329343,0.310125,0.298898,0.23204
0.24,0.343729,0.323835,0.298895,0.231621
0.25,0.35818,0.3371,0.298191,0.228275
0.26,0.37204,0.35046,0.296669,0.227162
0.27,0.386619,0.363977,0.29446,0.225655
0.28,0.40124,0.377219,0.29147,0.224489
0.29,0.41545,0.391479,0.288194,0.219638
0.3,0.429398,0.404495,0.285413,0.217823
0.31,0.444161,0.416116,0.281835,0.21551
0.32,0.45838,0.429407,0.278644,0.214094
0.33,0.472714,0.442822,0.276096,0.20976
0.34,0.486171,0.453061,0.272612,0.207888
0.35,0.500446,0.46464,0.268438,0.20607
0.36,0.515115,0.474836,0.264797,0.203538
0.37,0.52891,0.484605,0.26358,0.202206
0.38,0.541471,0.488757,0.257869,0.19884
0.39,0.55519,0.491221,0.255476,0.196115
0.4,0.568864,0.502622,0.249534,0.193682
0.41,0.582095,0.50439,0.245717,0.188416
0.42,0.592649,0.491424,0.244606,0.187908
0.43,0.602941,0.486364,0.24052,0.186015
0.44,0.60612,0.482453,0.234934,0.181407
0.45,0.596897,0.502951,0.232618,0.18024
0.46,0.597678,0.483202,0.228163,0.176488
0.47,0.633047,0.477935,0.225702,0.173369
0.48,0.632284,0.470804,0.222253,0.171848
0.49,0.584015,0.467665,0.218878,0.169472
0.5,0.569572,0.445205,0.210504,0.163877
